X1,practice,period,total_scripts,total_quantity,high_dose_scripts,high_dose_quantity
15729,D81043,2018-10-01,214,5508,1,8
8046,B86061,2018-01-01,6,48,6,48
8047,B86061,2018-02-01,1,8,1,8
10835,C82097,2018-03-01,1,16,1,16
10839,C82097,2018-08-01,1,16,1,16
11199,C82653,2018-01-01,1,8,1,8
11200,C82653,2018-02-01,1,8,1,8
11201,C82653,2018-03-01,1,8,1,8
11202,C82653,2018-04-01,2,16,2,16
11203,C82653,2018-05-01,1,8,1,8
20126,E83624,2018-02-01,1,8,1,8
20224,E83658,2018-01-01,2,8,2,8
20829,E84626,2018-09-01,1,8,1,8
20870,E84646,2018-10-01,1,8,1,8
20936,E84674,2018-02-01,2,8,2,8
20937,E84674,2018-03-01,1,4,1,4
20938,E84674,2018-04-01,1,4,1,4
20940,E84674,2018-06-01,1,4,1,4
20941,E84674,2018-08-01,1,4,1,4
21132,E85006,2018-01-01,2,16,2,16
21139,E85006,2018-09-01,1,8,1,8
21140,E85006,2018-10-01,1,8,1,8
21683,E85099,2018-05-01,1,8,1,8
21686,E85099,2018-09-01,1,8,1,8
21874,E85125,2018-03-01,1,12,1,12
21956,E85623,2018-01-01,1,16,1,16
21959,E85623,2018-04-01,1,16,1,16
21964,E85623,2018-10-01,1,16,1,16
21996,E85630,2018-01-01,1,8,1,8
21998,E85630,2018-03-01,3,26,3,26
22000,E85630,2018-05-01,2,18,2,18
22018,E85635,2018-04-01,1,12,1,12
22054,E85649,2018-02-01,1,16,1,16
22056,E85649,2018-05-01,1,16,1,16
22090,E85659,2018-01-01,2,16,2,16
22091,E85659,2018-03-01,1,8,1,8
22092,E85659,2018-04-01,1,8,1,8
22093,E85659,2018-05-01,2,16,2,16
22094,E85659,2018-06-01,1,8,1,8
22095,E85659,2018-08-01,2,16,2,16
22096,E85659,2018-09-01,1,8,1,8
22097,E85659,2018-10-01,1,8,1,8
22098,E85659,2018-11-01,1,8,1,8
22346,E85721,2018-04-01,1,8,1,8
22348,E85721,2018-06-01,1,8,1,8
22383,E85733,2018-05-01,1,6,1,6
22431,E85743,2018-08-01,1,8,1,8
22463,E85746,2018-10-01,1,8,1,8
22803,E86609,2018-10-01,2,12,2,12
22967,E87006,2018-04-01,1,8,1,8
22970,E87006,2018-08-01,9,24,9,24
23138,E87047,2018-01-01,1,20,1,20
23148,E87048,2018-04-01,1,12,1,12
23149,E87048,2018-06-01,1,12,1,12
23166,E87057,2018-03-01,1,4,1,4
23406,E87741,2018-02-01,1,8,1,8
23407,E87741,2018-03-01,1,16,1,16
23409,E87741,2018-05-01,1,16,1,16
23412,E87741,2018-09-01,1,16,1,16
23414,E87741,2018-11-01,1,16,1,16
23430,E87746,2018-01-01,4,32,4,32
23431,E87746,2018-02-01,4,32,4,32
23432,E87746,2018-03-01,8,52,8,52
23433,E87746,2018-04-01,4,32,4,32
23434,E87746,2018-05-01,4,32,4,32
23435,E87746,2018-06-01,4,8,4,8
23436,E87746,2018-08-01,4,8,4,8
23437,E87746,2018-09-01,4,8,4,8
23438,E87746,2018-10-01,4,8,4,8
23439,E87746,2018-11-01,4,8,4,8
